CGMP;Nome;Longitude;Latitude
6523;Posto Shell Colossal;-49.304615020752;-25.4450435638428
6525;Posto Shell Lipe;-43.2929191589355;-22.8819103240967
6527;Posto Shell Margodete;-46.570613861084;-23.5427589416504
6529;Posto Shell Nova Curitiba;-49.2972847;-25.5125299
6531;Posto Shell Galo Branco;-47.4099922180176;-20.552267074585
6532;Posto Shell Antares;-49.3347015380859;-25.4772758483887
6533;Posto Shell Copa Ouro;-49.332462310791;-25.5117816925049
6534;Posto Shell Alameda Sacoma;-46.6016235351563;-23.6191291809082
6536;Posto Shell Aladin Servicos;-49.348274230957;-25.4189128875732
6537;Posto Shell Lord Rodrigo;-43.3039207458496;-22.7924098968506
6538;Posto Shell Verde Curitiba;-49.2557678222656;-25.4069023132324
